Date,tesla
2020-01-05,55
2020-01-12,59
2020-01-19,56
2020-01-26,62
2020-02-02,87
2020-02-09,62
2020-02-16,68
2020-02-23,48
2020-03-01,39
2020-03-08,29
2020-03-15,24
2020-03-22,24
2020-03-29,30
2020-04-05,26
2020-04-12,35
2020-04-19,30
2020-04-26,46
2020-05-03,39
2020-05-10,44
2020-05-17,35
2020-05-24,36
2020-05-31,31
2020-06-07,43
2020-06-14,40
2020-06-21,36
2020-06-28,52
2020-07-05,57
2020-07-12,61
2020-07-19,86
2020-07-26,46
2020-08-02,42
2020-08-09,47
2020-08-16,58
2020-08-23,54
2020-08-30,96
2020-09-06,77
2020-09-13,58
2020-09-20,100
2020-09-27,56
2020-10-04,49
2020-10-11,48
2020-10-18,60
2020-10-25,41
2020-11-01,30
2020-11-08,38
2020-11-15,53
2020-11-22,50
2020-11-29,54
2020-12-06,59
2020-12-13,51
2020-12-20,55
2020-12-27,49
2021-01-03,88
2021-01-10,86
2021-01-17,64
2021-01-24,100
2021-01-31,73
2021-02-07,94
2021-02-14,68
2021-02-21,79
2021-02-28,73
2021-03-07,68
2021-03-14,64
2021-03-21,55
2021-03-28,65
2021-04-04,52
2021-04-11,54
2021-04-18,65
2021-04-25,74
2021-05-02,49
2021-05-09,66
2021-05-16,59
2021-05-23,52
2021-05-30,56
2021-06-06,53
2021-06-13,40
2021-06-20,47
2021-06-27,49
2021-07-04,43
2021-07-11,41
2021-07-18,45
2021-07-25,48
2021-08-01,39
2021-08-08,38
2021-08-15,52
2021-08-22,50
2021-08-29,44
2021-09-05,47
2021-09-12,24
2021-09-19,44
2021-09-26,44
2021-10-03,55
2021-10-10,51
2021-10-17,59
2021-10-24,79
2021-10-31,78
2021-11-07,74
2021-11-14,54
2021-11-21,51
2021-11-28,56
2021-12-05,54
2021-12-12,60
2021-12-19,58
2021-12-26,49
2022-01-02,95
2022-01-09,81
2022-01-16,80
2022-01-23,100
2022-01-30,74
2022-02-06,73
2022-02-13,59
2022-02-20,48
2022-02-27,51
2022-03-06,57
2022-03-13,56
2022-03-20,67
2022-03-27,72
2022-04-03,72
2022-04-10,64
2022-04-17,78
2022-04-24,78
2022-05-01,63
2022-05-08,71
2022-05-15,68
2022-05-22,63
2022-05-29,65
2022-06-05,56
2022-06-12,63
2022-06-19,57
2022-06-26,56
2022-07-03,56
2022-07-10,51
2022-07-17,65
2022-07-24,58
2022-07-31,57
2022-08-07,52
2022-08-14,51
2022-08-21,56
2022-08-28,48
2022-09-04,44
2022-09-11,48
2022-09-18,48
2022-09-25,51
2022-10-02,54
2022-10-09,48
2022-10-16,61
2022-10-23,48
2022-10-30,46
2022-11-06,62
2022-11-13,60
2022-11-20,53
2022-11-27,56
2022-12-04,53
2022-12-11,67
2022-12-18,75
2022-12-25,79
2023-01-01,86
2023-01-08,76
2023-01-15,79
2023-01-22,91
2023-01-29,65
2023-02-05,57
2023-02-12,70
2023-02-19,65
2023-02-26,100
2023-03-05,68
2023-03-12,49
2023-03-19,48
2023-03-26,58
2023-04-02,62
2023-04-09,60
2023-04-16,76
2023-04-23,59
2023-04-30,52
2023-05-07,54
2023-05-14,59
2023-05-21,57
2023-05-28,58
2023-06-04,68
2023-06-11,68
2023-06-18,61
2023-06-25,56
2023-07-02,71
2023-07-09,63
2023-07-16,99
2023-07-23,77
2023-07-30,68
2023-08-06,60
2023-08-13,70
2023-08-20,62
2023-08-27,80
2023-09-03,64
2023-09-10,73
2023-09-17,65
2023-09-24,53
2023-10-01,51
